XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.95381995,40.69331716,97,405,NULL,NULL,373,Willoughby Ave & Walworth St,40.693317,-73.953820,270,Adelphi St & Myrtle Ave,40.693083,-73.971789,15203,Subscriber,1995,1
-73.98912867,40.68926942,184,2128,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,238,Bank St & Washington St,40.736197,-74.008592,14684,Subscriber,1985,1
-73.98912867,40.68926942,233,1512,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,437,Macon St & Nostrand Ave,40.680983,-73.950048,15273,Customer,0,0
-73.97372990,40.69178230,291,301,NULL,NULL,262,Washington Park,40.691782,-73.973730,353,S Portland Ave & Hanson Pl,40.685396,-73.974315,17354,Subscriber,1979,1
-73.96024116,40.71534825,294,1340,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,218,Gallatin Pl & Livingston St,40.690284,-73.987071,18719,Subscriber,1983,1
-73.96024116,40.71534825,312,423,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,282,Kent Ave & S 11 St,40.708273,-73.968341,17397,Subscriber,1981,2
-73.96023854,40.68900443,352,184,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,120,Lexington Ave & Classon Ave,40.686768,-73.959282,20729,Subscriber,1984,2
-73.96023854,40.68900443,353,24167,NULL,NULL,364,Lafayette Ave & Classon Ave,40.689004,-73.960239,353,S Portland Ave & Hanson Pl,40.685396,-73.974315,18062,Subscriber,1984,1
-73.98068914,40.69839895,552,252,NULL,NULL,144,Nassau St & Navy St,40.698399,-73.980689,430,York St & Jay St,40.701485,-73.986569,20318,Subscriber,1985,2
-73.98362464,40.69474881,661,406,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,143,Clinton St & Joralemon St,40.692395,-73.993379,20167,Subscriber,1956,1
-73.96408963,40.70853074,727,795,NULL,NULL,443,Bedford Ave & S 9 St,40.708531,-73.964090,430,York St & Jay St,40.701485,-73.986569,17839,Subscriber,1988,1
-73.98912867,40.68926942,730,2033,NULL,NULL,310,State St & Smith St,40.689269,-73.989129,448,W 37 St & 10 Ave,40.756604,-73.997901,15374,Subscriber,1980,1
-73.97493121,40.68981035,895,1102,NULL,NULL,241,DeKalb Ave & S Portland Ave,40.689810,-73.974931,195,Liberty St & Broadway,40.709056,-74.010434,20648,Subscriber,1969,1
-73.95381995,40.69331716,936,696,NULL,NULL,373,Willoughby Ave & Walworth St,40.693317,-73.953820,420,Clermont Ave & Lafayette Ave,40.687645,-73.969689,17523,Subscriber,1984,1
-73.97372990,40.69178230,951,287,NULL,NULL,262,Washington Park,40.691782,-73.973730,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,19984,Subscriber,1983,1
-73.96563307,40.68650065,1288,353,NULL,NULL,275,Washington Ave & Greene Ave,40.686501,-73.965633,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,17287,Subscriber,1958,1
-73.98362464,40.69474881,1506,241,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,418,Front St & Gold St,40.702240,-73.982578,15212,Subscriber,1985,2
