XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.99400398,40.71076228,143265,171,NULL,NULL,408,Market St & Cherry St,40.710762,-73.994004,82,St James Pl & Pearl St,40.711174,-74.000165,18131,Subscriber,1962,1
-73.99695094,40.72679454,143277,662,NULL,NULL,375,Mercer St & Bleecker St,40.726795,-73.996951,147,Greenwich St & Warren St,40.715422,-74.011220,15965,Subscriber,1976,1
-73.99147535,40.72229346,143286,477,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,2004,6 Ave & Broome St,40.724399,-74.004704,18800,Subscriber,1959,1
-74.01658354,40.71533790,143293,391,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,2008,Little West St & 1 Pl,40.705693,-74.016777,15084,Subscriber,1985,1
-73.98776323,40.71269042,143300,180,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,295,Pike St & E Broadway,40.714067,-73.992939,18362,Subscriber,1986,1
-73.97574813,40.72368361,143311,639,NULL,NULL,266,Avenue D & E 8 St,40.723684,-73.975748,285,Broadway & E 14 St,40.734546,-73.990741,21363,Subscriber,1970,2
-74.01658354,40.71533790,143320,348,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,387,Centre St & Chambers St,40.712733,-74.004607,16640,Subscriber,1972,1
-73.97628939,40.71782143,143334,895,NULL,NULL,341,Stanton St & Mangin St,40.717821,-73.976289,2009,Catherine St & Monroe St,40.711174,-73.996826,18297,Subscriber,1962,2
-73.99193043,40.71173107,143342,476,NULL,NULL,331,Pike St & Monroe St,40.711731,-73.991930,360,William St & Pine St,40.707179,-74.008873,18267,Subscriber,1988,1
-74.01575600,40.71151200,143349,279,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,304,Broadway & Battery Pl,40.704633,-74.013617,17405,Subscriber,1975,1
-73.99704680,40.71413089,143353,1728,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,495,W 47 St & 10 Ave,40.762699,-73.993012,20974,Subscriber,1970,1
-73.99192540,40.72110063,143357,1510,NULL,NULL,473,Rivington St & Chrystie St,40.721101,-73.991925,385,E 55 St & 2 Ave,40.757973,-73.966033,15376,Subscriber,1966,1
-74.01575600,40.71151200,143358,1306,NULL,NULL,3002,South End Ave & Liberty St,40.711512,-74.015756,280,E 10 St & 5 Ave,40.733320,-73.995101,21604,Subscriber,1964,1
-73.99160000,40.74915600,143376,597,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,536,1 Ave & E 30 St,40.741444,-73.975361,19884,Subscriber,1960,1
-74.01658354,40.71533790,143396,726,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,355,Bayard St & Baxter St,40.716021,-73.999744,21524,Subscriber,1955,1
-73.98142006,40.72740794,143418,349,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,293,Lafayette St & E 8 St,40.730287,-73.990765,16084,Subscriber,1984,2
