XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.96087600,40.71045100,171395,1425,NULL,NULL,532,S 5 Pl & S 4 St,40.710451,-73.960876,395,Bond St & Schermerhorn St,40.688070,-73.984106,16380,Subscriber,1983,1
-73.96024116,40.71534825,171418,751,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,313,Washington Ave & Park Ave,40.696102,-73.967510,19233,Subscriber,1984,1
-73.96024116,40.71534825,171470,1079,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,410,Suffolk St & Stanton St,40.720664,-73.985180,19028,Subscriber,1986,2
-73.95381995,40.69331716,171475,344,NULL,NULL,373,Willoughby Ave & Walworth St,40.693317,-73.953820,354,Emerson Pl & Myrtle Ave,40.693631,-73.962236,16481,Subscriber,1971,2
-73.96024116,40.71534825,171484,1033,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,410,Suffolk St & Stanton St,40.720664,-73.985180,14803,Subscriber,1986,1
-73.98963911,40.69246277,171669,735,NULL,NULL,233,Joralemon St & Adams St,40.692463,-73.989639,414,Pearl St & Anchorage Pl,40.702819,-73.987658,18901,Subscriber,1970,1
-73.96024116,40.71534825,171700,305,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,389,Broadway & Berry St,40.710446,-73.965251,14856,Subscriber,1990,1
-73.97100056,40.70531194,171724,6701,NULL,NULL,2005,Railroad Ave & Kay Ave,40.705312,-73.971001,395,Bond St & Schermerhorn St,40.688070,-73.984106,15784,Subscriber,1984,1
-73.96024116,40.71534825,171860,94,NULL,NULL,539,Metropolitan Ave & Bedford Ave,40.715348,-73.960241,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,16853,Subscriber,1981,1
-73.97992700,40.69977300,172070,190,NULL,NULL,2001,Sands St & Navy St,40.699773,-73.979927,430,York St & Jay St,40.701485,-73.986569,16125,Subscriber,1989,1
-73.96596410,40.68317813,172301,245,NULL,NULL,384,Fulton St & Waverly Ave,40.683178,-73.965964,244,Willoughby Ave & Hall St,40.691960,-73.965369,16481,Subscriber,1988,1
-73.98362464,40.69474881,172508,463,NULL,NULL,261,Johnson St & Gold St,40.694749,-73.983625,2000,Front St & Washington St,40.702551,-73.989402,19423,Subscriber,1971,1
